ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Delivery Commission,Processing Fee,Withheld Tax,Targeted Promotion
O-931912335975154,Havenly Treats - Amity Rd,Prepaid Order,,7/30/20,5:30 PM,46.48,0,0,0,0,46.48,-9.3,-4.65,-1.6,0,-4
O-641712273415090,Havenly Treats - Amity Rd,Prepaid Order,,7/24/20,7:10 PM,63,0,0,0,0,63,-12.6,-6.3,-2.1,0,-4
O-200812258780900,Havenly Treats - Amity Rd,Prepaid Order,,7/22/20,6:50 PM,18.8,0,0,0,0,18.8,-3.76,-1.88,-0.75,0,-4
O-579212327203236,Havenly Treats - Amity Rd,Prepaid Order,,7/30/20,2:00 PM,13.4,0,0,0,0,13.4,-2.68,-1.34,-0.59,0,-4
O-637012234534110,Havenly Treats - Amity Rd,Prepaid Order,,7/20/20,1:17 PM,33.5,0,0,0,3.35,36.85,-6.7,0,-1.42,0,0
O-256412166163877,Havenly Treats - Amity Rd,Prepaid Order,,7/13/20,6:05 PM,23.75,0,0,0,0,23.75,-4.75,-2.38,-1.02,0,0
O-091012321316714,Havenly Treats - Amity Rd,Prepaid Order,,7/29/20,12:30 PM,37,0,0,0,0,37,-7.4,-3.7,-1.31,0,-4
O-183912402116610,Havenly Treats - Amity Rd,Adjustment of O-183912402116610,RESTAURANT_IS_CLOSED,8/6/20,1:25 PM,-14.25,0,0,0,0,-14.25,2.85,1.43,0.61,0,4
O-183912402116610,Havenly Treats - Amity Rd,Prepaid Order,,8/6/20,1:25 PM,14.25,0,0,0,0,14.25,-2.85,-1.43,-0.61,0,-4
O-715012394015299,Havenly Treats - Amity Rd,Adjustment of O-715012394015299,Restaurant Closed,8/5/20,7:30 PM,-31.73,0,0,0,0,-31.73,6.35,3.17,1.15,0,4
T-AwAAGzmBLfkuANXFEeqravfh7LJbJQ,Havenly Treats - Amity Rd,Account Adjustment,GH Credit for Smart Promotions,8/3/20,4:09 PM,0,0,0,0,0,10,0,0,0,0,0
O-715012394015299,Havenly Treats - Amity Rd,Prepaid Order,,8/5/20,6:50 PM,31.73,0,0,0,0,31.73,-6.35,-3.17,-1.15,0,-4
O-428112957326695,Havenly Treats - Amity Rd,Prepaid Order,,9/30/20,2:42 PM,22.45,0,3.99,0,2,28.44,-5.29,0,-1.05,0,-4
O-605412893296023,Havenly Treats - Amity Rd,Prepaid Order,,9/24/20,7:50 PM,8.75,0.46,3.99,0,0.01,13.21,-2.64,0,-0.7,0,0
O-301312769275098,Havenly Treats - Amity Rd,Prepaid Order,,9/11/20,7:25 PM,25,0,0,0,0,25,-5,-2.5,-0.94,0,-4
O-301312769275098,Havenly Treats - Amity Rd,Adjustment of O-301312769275098,Restaurant closed,9/11/20,7:25 PM,-25,0,0,0,0,-25,5,2.5,0.94,0,4
O-379712965157670,Havenly Treats - Amity Rd,Prepaid Order,,10/1/20,5:46 PM,31.45,0,3.99,0,8.86,44.3,-7.09,0,-1.53,0,-4
O-429712892540734,Havenly Treats - Amity Rd,Adjustment of O-429712892540734,Multiple reasons: Refund due to item removed from order. Refund due to item removed from order,9/24/20,7:27 PM,-11.49,0,0,0,0,-11.49,0,0,0,0,0
O-096112966307802,Havenly Treats - Amity Rd,Prepaid Order,,10/1/20,5:53 PM,14.7,0,3.99,0,4.3,22.99,-3.74,0,-0.88,0,-4
O-045812969840163,Havenly Treats - Amity Rd,Adjustment of O-045812969840163,Item not available - ,10/1/20,4:03 PM,-2.99,0,0,0,0,-2.99,0,0,0,0,0
O-491612827953646,Havenly Treats - Amity Rd,Prepaid Order,,9/17/20,3:10 PM,35,0,0,0,0,35,-7,-3.5,-1.25,0,-4
O-178412761104763,Havenly Treats - Amity Rd,Adjustment of O-178412761104763,Restaurant Closed,9/11/20,3:00 PM,-13.7,0,0,0,0,-13.7,2.74,1.37,0.6,0,4
O-178412761104763,Havenly Treats - Amity Rd,Prepaid Order,,9/11/20,3:00 PM,13.7,0,0,0,0,13.7,-2.74,-1.37,-0.6,0,-4
O-045812969840163,Havenly Treats - Amity Rd,Prepaid Order,,10/1/20,4:03 PM,15.23,0,3.99,0,3.84,23.06,-3.84,0,-0.88,0,-4
O-429712892540734,Havenly Treats - Amity Rd,Prepaid Order,,9/24/20,7:27 PM,21.99,0.94,3.99,0,2.69,29.61,-5.38,0,-1.08,0,-4
O-951512941173403,Havenly Treats - Amity Rd,Prepaid Order,,9/29/20,6:00 PM,32.54,0,3.99,0,5.48,42.01,-7.31,0,-1.46,0,-4
O-491612827953646,Havenly Treats - Amity Rd,Adjustment of O-491612827953646,Restaurant closed,9/17/20,3:10 PM,-35,0,0,0,0,-35,7,3.5,1.25,0,4
O-943513010716162,Havenly Treats - Amity Rd,Prepaid Order,,10/6/20,7:31 PM,48.99,0,3.99,0,10.6,63.58,-10.6,-2.12,0,-4,
O-214413057690532,Havenly Treats - Amity Rd,Adjustment of O-214413057690532,Order Not Received,10/10/20,4:04 PM,-9.09,0,-3.99,0,-1.96,-15.04,2.62,0.76,0,0,
O-670513197336659,Havenly Treats - Amity Rd,Prepaid Order,,10/24/20,8:18 PM,22,0,4.49,1.65,4.22,32.36,-5.3,-1.16,0,-4,
O-379712965157670,Havenly Treats - Amity Rd,Prepaid Order,,10/1/20,5:46 PM,31.45,0,3.99,0,8.86,44.3,-7.09,-1.53,0,-4,
O-106813252514741,Havenly Treats - Amity Rd,Prepaid Order,,10/30/20,1:25 PM,14.2,0,2.99,0.97,1,19.16,-3.44,-0.76,0,-4,
O-180713161281879,Havenly Treats - Amity Rd,Prepaid Order,,10/21/20,6:57 PM,40.99,0,4.49,3.05,7.28,55.81,-9.1,-1.88,0,-4,
O-484613251296759,Havenly Treats - Amity Rd,Prepaid Order,,10/30/20,12:30 PM,24.82,0,7.49,2.08,5.16,39.55,-6.46,-1.38,0,-4,
O-376213243877058,Havenly Treats - Amity Rd,Prepaid Order,,10/29/20,8:07 PM,39.08,0,8.99,3.24,7.7,59.01,-9.61,-1.98,0,-4,
O-106813252576591,Havenly Treats - Amity Rd,Prepaid Order,,10/30/20,6:10 PM,15.84,0,2.99,1.09,4.08,24,-3.77,-0.91,0,-4,
O-670513177351313,Havenly Treats - Amity Rd,Prepaid Order,,10/22/20,3:09 PM,12.08,0,0,0.59,0,12.67,-2.42,-0.56,0,-4,
O-168613153139815,Havenly Treats - Amity Rd,Prepaid Order,,10/20/20,2:18 PM,12.49,0,2.99,1.14,4.16,20.78,-3.1,-0.93,0,0,
O-676513105367212,Havenly Treats - Amity Rd,Prepaid Order,,10/15/20,7:41 PM,15.74,0,2.99,1.08,4.19,24,-3.75,-0.91,0,-4,
O-943513010716162,Havenly Treats - Amity Rd,Adjustment of O-943513010716162,Multiple reasons: Refund due to item removed from order. Refund due to item removed from order,10/6/20,7:31 PM,-11.25,0,0,0,0,-11.25,0,0,0,0,
O-750113034887283,Havenly Treats - Amity Rd,Adjustment of O-750113034887283,Order Not Received,10/8/20,2:01 PM,-14.3,0,-3.99,0,-2.74,-21.03,3.66,0.82,0,4,
O-405613156046507,Havenly Treats - Amity Rd,Prepaid Order,,10/20/20,1:24 PM,24.56,0,4.49,1.84,0,30.89,-5.81,-1.12,0,-4,
O-803813161412037,Havenly Treats - Amity Rd,Prepaid Order,,10/21/20,6:05 PM,15.24,0,2.99,1.05,2.89,22.17,-3.65,-0.85,0,-4,
T-AwAAGzmBr8aWQAT4EeuQXzOnmv-cSQ,Havenly Treats - Amity Rd,Account Adjustment,GH Credit for Smart Promotions,10/2/20,5:46 PM,0,0,0,0,0,6,0,0,0,0,
O-750113034887283,Havenly Treats - Amity Rd,Prepaid Order,,10/8/20,1:35 PM,14.3,0,3.99,0,2.74,21.03,-3.66,-0.82,0,-4,
