Day,Hour,Sales,% of Total Sales,Orders,% of Total Orders,Ticket Size,Currency Code
Monday,18,39.75,15.27,1,8.33,39.75,USD
Monday,20,13,5,1,8.33,13,USD
Wednesday,17,11.5,4.42,1,8.33,11.5,USD
Wednesday,20,13.75,5.28,1,8.33,13.75,USD
Thursday,20,16.25,6.24,1,8.33,16.25,USD
Friday,13,83,31.89,2,16.67,41.5,USD
Friday,14,24.75,9.51,1,8.33,24.75,USD
Friday,20,24,9.22,2,16.67,12,USD
Friday,21,16.25,6.24,1,8.33,16.25,USD
Saturday,21,18,6.92,1,8.33,18,USD
,,,,,,,
Monday,16,13.5,0.84,1,1.35,13.5,USD
Monday,17,25.25,1.57,1,1.35,25.25,USD
Monday,18,66,4.12,2,2.7,33,USD
Monday,19,48,2.99,2,2.7,24,USD
Monday,20,13,0.81,1,1.35,13,USD
Tuesday,14,29.28,1.83,2,2.7,14.64,USD
Tuesday,15,52.53,3.28,2,2.7,26.265,USD
Tuesday,18,21.5,1.34,1,1.35,21.5,USD
Tuesday,19,54.75,3.41,2,2.7,27.375,USD
Tuesday,20,87.5,5.46,4,5.41,21.875,USD
Tuesday,21,18.99,1.18,1,1.35,18.99,USD
Wednesday,14,10.75,0.67,1,1.35,10.75,USD
Wednesday,15,10.75,0.67,1,1.35,10.75,USD
Wednesday,17,11.5,0.72,1,1.35,11.5,USD
Wednesday,18,34,2.12,2,2.7,17,USD
Wednesday,19,28.75,1.79,2,2.7,14.375,USD
Wednesday,20,26.25,1.64,2,2.7,13.125,USD
Thursday,12,16.28,1.02,1,1.35,16.28,USD
Thursday,14,50.5,3.15,2,2.7,25.25,USD
Thursday,15,76.94,4.8,3,4.05,25.64666667,USD
Thursday,16,40.02,2.5,3,4.05,13.34,USD
Thursday,17,10.5,0.65,1,1.35,10.5,USD
Thursday,18,66.17,4.13,3,4.05,22.05666667,USD
Thursday,19,44.5,2.78,1,1.35,44.5,USD
Thursday,20,36.75,2.29,2,2.7,18.375,USD
Friday,12,81,5.05,3,4.05,27,USD
Friday,13,137.34,8.57,6,8.11,22.89,USD
Friday,14,84.25,5.25,4,5.41,21.0625,USD
Friday,18,127.58,7.96,3,4.05,42.52666667,USD
Friday,19,23.5,1.47,2,2.7,11.75,USD
Friday,20,24,1.5,2,2.7,12,USD
Friday,21,16.25,1.01,1,1.35,16.25,USD
Saturday,12,25.5,1.59,1,1.35,25.5,USD
Saturday,15,19,1.19,1,1.35,19,USD
Saturday,16,44.13,2.75,1,1.35,44.13,USD
Saturday,18,47,2.93,2,2.7,23.5,USD
Saturday,19,50.3,3.14,2,2.7,25.15,USD
Saturday,20,11.5,0.72,1,1.35,11.5,USD
Saturday,21,18,1.12,1,1.35,18,USD
